開催日,競馬場,レース番号,レース名,距離,コース,馬場状態,出走頭数,馬番,馬名,騎手
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,2,モレポブラーノ,北村友
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,3,マッハレイジング,小崎
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,4,ワンウェイトゥヘル,吉村
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,5,ゴメンネジロー,田山
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,6,エリカドリーム,富田
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,7,メイケイレイン,岩田康
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,8,サマーナイト,小沢
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,9,マリーヌ,団野
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,10,モズタチアガレ,西塚
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,11,トリプルバレル,永島
2025-08-30,chukyo,12,3歳以上1勝クラス,0,芝,良,12,12,ランスオブプライム,田口
