D-Logic生データナレッジファイル構築完了レポート V2
============================================================
完了時刻: 2025-08-08 16:33:25
処理時間: 0.4時間（23.6分）

[最終結果]
収録馬数: 37,878頭
スキップ: 0頭（3走未満）
エラー: 6件
JSONファイルサイズ: 149.1MB

[収録データ仕様]
- 対象期間: 2020-2025年
- 収録条件: 3走以上
- データ内容: 各馬の最新5走（最大）の生データ
- 用途: D-Logic12項目分析の計算元データ

[収録馬一覧]（アルファベット順）
------------------------------------------------------------
  138. アイドルヲサガセ                       5走 最終出走: 2022/07/21
  139. アイドンノー                         5走 最終出走: 2022/05/20
  140. アイニイ                           4走 最終出走: 2020/08/31
  141. アイノア                           5走 最終出走: 2021/11/28
  142. アイノウィステリア                      5走 最終出走: 2023/09/27
  143. アイノエクスプレス                      3走 最終出走: 2022/02/22
  144. アイノカタマリ                        5走 最終出走: 2023/12/19
  145. アイノシャンティー                      5走 最終出走: 2024/09/03
  146. アイノジヴェルニー                      4走 最終出走: 2023/11/08
  147. アイノストーリー                       5走 最終出走: 2022/03/01
  148. アイノセンシ                         5走 最終出走: 2025/06/15
  149. アイノパスレル                        4走 最終出走: 2024/09/09
  150. アイノビューティー                      5走 最終出走: 2022/12/27
  151. アイノファンタジー                      5走 最終出走: 2021/04/11
  152. アイノルピナス                        5走 最終出走: 2025/05/13
  153. アイバンホー                         5走 最終出走: 2021/11/02
  154. アイパラドックス                       5走 最終出走: 2022/08/28
  155. アイビクトリア                        3走 最終出走: 2020/12/02
  156. アイビーイダテン                       5走 最終出走: 2024/11/26
  157. アイビーガオー                        5走 最終出走: 2025/07/12
  158. アイビーグラチア                       5走 最終出走: 2022/10/14
  159. アイビーサムライオ                      5走 最終出走: 2024/12/26
  160. アイビースピネル                       4走 最終出走: 2025/05/17
  161. アイビーテーラー                       5走 最終出走: 2022/11/23
  162. アイビーデゼル                        5走 最終出走: 2023/12/24
  163. アイビーヒメチャン                      5走 最終出走: 2025/03/23
  164. アイビーブリッツ                       5走 最終出走: 2024/11/10
  165. アイファーアクター                      5走 最終出走: 2022/01/29
  166. アイファーイチオー                      4走 最終出走: 2021/12/11
  167. アイファーエポック                      5走 最終出走: 2025/04/13
  168. アイファーエンター                      5走 最終出走: 2021/11/03
  169. アイファーオレンジ                      4走 最終出走: 2021/12/02
  170. アイファーキャップ                      5走 最終出走: 2025/07/27
  171. アイファーキャノン                      5走 最終出走: 2023/01/11
  172. アイファーキングズ                      5走 最終出走: 2025/01/05
  173. アイファーグラッド                      5走 最終出走: 2025/02/26
  174. アイファーグローブ                      5走 最終出走: 2025/07/12
  175. アイファーサイアン                      4走 最終出走: 2020/07/20
  176. アイファーシアトル                      5走 最終出走: 2025/03/01
  177. アイファーシャドー                      5走 最終出走: 2025/08/03
  178. アイファーショコラ                      5走 最終出走: 2021/01/06
  179. アイファージェット                      4走 最終出走: 2025/08/02
  180. アイファージャガー                      5走 最終出走: 2022/02/02
  181. アイファースキャン                      5走 最終出走: 2025/06/07
  182. アイファーステップ                      5走 最終出走: 2022/11/09
  183. アイファータイトル                      4走 最終出走: 2024/10/24
  184. アイファーダイオウ                      5走 最終出走: 2024/07/17
  185. アイファーチーター                      5走 最終出走: 2025/07/19
  186. アイファーテイオー                      5走 最終出走: 2025/07/13
  187. アイファーニケ                        3走 最終出走: 2023/11/14
  188. アイファーネイビー                      5走 最終出走: 2021/12/02
  189. アイファーバトル                       5走 最終出走: 2025/06/08
  190. アイファーパレード                      5走 最終出走: 2021/08/12
  191. アイファーパンサー                      5走 最終出走: 2021/12/09
  192. アイファーパープル                      5走 最終出走: 2021/11/23
  193. アイファーピンク                       5走 最終出走: 2022/10/05
  194. アイファーファイト                      5走 最終出走: 2025/07/08
  195. アイファーファーレ                      5走 最終出走: 2020/09/25
  196. アイファーフライト                      3走 最終出走: 2020/07/27
  197. アイファーブラック                      5走 最終出走: 2022/07/10
  198. アイファーブルー                       3走 最終出走: 2020/03/14
  199. アイファーブレーヴ                      5走 最終出走: 2023/05/12
  200. アイファープレミア                      5走 最終出走: 2024/10/08
  201. アイファーベア                        5走 最終出走: 2025/05/24
  202. アイファーマオ                        5走 最終出走: 2025/03/16
  203. アイファームーラン                      5走 最終出走: 2024/11/14
